Timestamp, First, Second, Third, Fourth, Fifth
6/12/2023 15:07:35,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5
6/12/2023 15:07:42,Candidate 1,Candidate 3,Candidate 2,Candidate 4,Candidate 5
6/12/2023 15:07:52,Candidate 4,Candidate 2,Candidate 3,Candidate 5,Candidate 1
6/12/2023 15:08:15,Candidate 2,Candidate 3,Candidate 5,Candidate 4,Candidate 1
6/12/2023 15:09:17,Candidate 4,Candidate 2,Candidate 5,Candidate 3,Candidate 1
6/12/2023 15:09:29,Candidate 4,Candidate 1,Candidate 5,Candidate 3,Candidate 2
6/12/2023 15:09:59,Candidate 3,Candidate 5,Candidate 1,Candidate 2,Candidate 4
6/12/2023 15:10:11,Candidate 3,Candidate 5,Candidate 1,Candidate 2,Candidate 4
6/12/2023 15:10:23,Candidate 5,Candidate 2,Candidate 4,Candidate 1,Candidate 3
6/12/2023 19:36:48,Candidate 1,Candidate 4,Candidate 2,Candidate 5,Candidate 3
6/12/2023 19:36:58,Candidate 4,Candidate 5,Candidate 3,Candidate 1,Candidate 2
6/12/2023 19:37:10,Candidate 1,Candidate 2,Candidate 5,Candidate 4,Candidate 3
6/12/2023 19:37:22,Candidate 1,Candidate 5,Candidate 2,Candidate 4,Candidate 3
6/12/2023 19:37:32,Candidate 5,Candidate 3,Candidate 2,Candidate 4,Candidate 1
6/12/2023 19:37:41,Candidate 4,Candidate 2,Candidate 5,Candidate 1,Candidate 3
6/12/2023 19:37:55,Candidate 2,Candidate 4,Candidate 1,Candidate 5,Candidate 3
6/12/2023 19:38:03,Candidate 3,Candidate 5,Candidate 2,Candidate 4,Candidate 1
6/12/2023 21:36:24,Candidate 5,Candidate 3,Candidate 2,Candidate 4,Candidate 1
6/12/2023 21:36:37,Candidate 2,Candidate 1,Candidate 4,Candidate 3,Candidate 5
6/12/2023 21:36:48,Candidate 1,Candidate 4,Candidate 3,Candidate 5,Candidate 2
6/12/2023 21:36:56,Candidate 2,Candidate 5,Candidate 1,Candidate 3,Candidate 4
6/12/2023 21:37:17,Candidate 1,Candidate 5,Candidate 2,Candidate 3,Candidate 4
6/12/2023 21:37:35,Candidate 1,Candidate 5,Candidate 2,Candidate 4,Candidate 3
6/12/2023 21:37:47,Candidate 5,Candidate 2,Candidate 3,Candidate 4,Candidate 1
6/12/2023 21:37:54,Candidate 1,Candidate 4,Candidate 3,Candidate 2,Candidate 5
6/12/2023 21:38:08,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 1
6/12/2023 21:38:15,Candidate 4,Candidate 3,Candidate 2,Candidate 1,Candidate 5
6/12/2023 21:38:23,Candidate 3,Candidate 4,Candidate 5,Candidate 1,Candidate 2
6/12/2023 21:38:29,Candidate 3,Candidate 2,Candidate 1,Candidate 5,Candidate 4
6/12/2023 21:38:37,Candidate 4,Candidate 5,Candidate 1,Candidate 2,Candidate 3
6/12/2023 21:38:52,Candidate 2,Candidate 1,Candidate 5,Candidate 4,Candidate 3
6/12/2023 21:39:02,Candidate 3,Candidate 1,Candidate 4,Candidate 2,Candidate 5
6/12/2023 21:39:11,Candidate 3,Candidate 2,Candidate 4,Candidate 1,Candidate 5
6/12/2023 21:39:23,Candidate 1,Candidate 3,Candidate 4,Candidate 2,Candidate 5
6/12/2023 21:39:32,Candidate 4,Candidate 1,Candidate 2,Candidate 5,Candidate 3
6/12/2023 21:39:46,Candidate 2,Candidate 3,Candidate 5,Candidate 4,Candidate 1
6/12/2023 21:48:54,Candidate 5,Candidate 1,Candidate 4,Candidate 3,Candidate 2
6/12/2023 21:49:01,Candidate 1,Candidate 4,Candidate 3,Candidate 2,Candidate 5
6/12/2023 21:49:21,Candidate 3,Candidate 2,Candidate 5,Candidate 4,Candidate 1
6/12/2023 21:49:29,Candidate 3,Candidate 1,Candidate 4,Candidate 2,Candidate 5
6/12/2023 21:49:37,Candidate 4,Candidate 2,Candidate 3,Candidate 1,Candidate 5
6/12/2023 21:49:51,Candidate 5,Candidate 3,Candidate 1,Candidate 2,Candidate 4
6/12/2023 21:50:03,Candidate 4,Candidate 3,Candidate 2,Candidate 1,Candidate 5
6/12/2023 21:50:12,Candidate 3,Candidate 4,Candidate 5,Candidate 2,Candidate 1
6/12/2023 21:50:19,Candidate 1,Candidate 2,Candidate 5,Candidate 4,Candidate 3
6/12/2023 21:50:30,Candidate 5,Candidate 2,Candidate 4,Candidate 3,Candidate 1
6/12/2023 21:50:41,Candidate 5,Candidate 1,Candidate 3,Candidate 2,Candidate 4
6/12/2023 21:50:50,Candidate 5,Candidate 3,Candidate 4,Candidate 1,Candidate 2
6/12/2023 21:51:01,Candidate 5,Candidate 3,Candidate 1,Candidate 2,Candidate 4
6/12/2023 21:51:10,Candidate 1,Candidate 3,Candidate 5,Candidate 4,Candidate 2
6/12/2023 21:51:34,Candidate 1,Candidate 4,Candidate 3,Candidate 2,Candidate 5
6/12/2023 21:51:49,Candidate 2,Candidate 1,Candidate 5,Candidate 3,Candidate 4
6/12/2023 21:52:54,Candidate 1,Candidate 4,Candidate 2,Candidate 3,Candidate 5
6/12/2023 21:53:04,Candidate 5,Candidate 4,Candidate 1,Candidate 3,Candidate 2
6/12/2023 21:53:14,Candidate 1,Candidate 4,Candidate 3,Candidate 5,Candidate 2
6/12/2023 21:53:31,Candidate 1,Candidate 2,Candidate 3,Candidate 5,Candidate 4
6/12/2023 21:53:54,Candidate 4,Candidate 2,Candidate 1,Candidate 3,Candidate 5
6/12/2023 21:54:07,Candidate 5,Candidate 2,Candidate 1,Candidate 4,Candidate 3
6/12/2023 21:54:15,Candidate 1,Candidate 5,Candidate 2,Candidate 4,Candidate 3
6/12/2023 21:54:23,Candidate 3,Candidate 2,Candidate 5,Candidate 4,Candidate 1
6/12/2023 21:54:40,Candidate 2,Candidate 1,Candidate 5,Candidate 3,Candidate 4
